estados,porcentaje_educacion_superior,indice_vivienda
AGUASCALIENTES,23.5976567613562,99.40278040435805
BAJA CALIFORNIA,27.9796551463349,98.19823913925643
BAJA CALIFORNIA SUR,29.1641564248802,97.97235382425765
CAMPECHE,22.2695332461626,96.3180014936022
CHIAPAS,18.241451738804,95.17038113994583
CHIHUAHUA,23.80584310294,97.75541360857271
CIUDAD DE MEXICO,27.6397689579857,99.73926019804742
COAHUILA DE ZARAGOZA,24.9135702481337,99.1104940157174
COLIMA,23.9668723214543,99.22674380092297
DURANGO,22.6763891876607,96.54196965579894
ESTADOS UNIDOS MEXICANOS,23.957896673986,97.51385150212013
GUANAJUATO,21.0259663616933,97.78664516283727
GUERRERO,21.8724147606056,92.08082931466926
HIDALGO,23.0031067857638,97.04474019373008
JALISCO,23.7143335554619,98.7808772311181
MICHOACAN DE OCAMPO,19.171875072527,97.74641399927687
MORELOS,24.6980568181137,98.82853814390457
MEXICO,27.1255665082999,98.4860140675233
NAYARIT,24.1634473826945,96.99454841854147
NUEVO LEON,25.4757162255049,99.231853805578
OAXACA,18.5384634513369,91.68257794147623
PUEBLA,21.8659414209543,97.50315387294427
QUERETARO,23.1499623210249,98.02215711298447
QUINTANA ROO,28.7331568040024,97.454382676913
SAN LUIS POTOSI,22.3270730105665,95.7289976403659
SINALOA,24.9870270355701,98.1158185702016
SONORA,26.7474444025699,97.67199906367573
TABASCO,25.4334304489074,98.16705211477877
TAMAULIPAS,25.7756520925516,97.78453899951616
TLAXCALA,24.4842609245526,97.17694077989013
VERACRUZ DE IGNACIO DE LA LLAVE,21.7435586793887,95.91792386450425
YUCATAN,22.5525345770872,94.87801672585819
ZACATECAS,19.0058167366351,97.5502510195668
